Movie_Name,Genre,Duration,Ratings,Voting_counts
Nothing Unusual,Animation,1h 32m,8.8,13
Dinosaur Empire,Animation,N/A,N/A,N/A
The Car Acrobatic Team Saga,Animation,1h 52m,7.2,12
Spider-Man: Blue,Animation,N/A,5.8,12
Naani Krissh's Jai Shree Ram,Animation,N/A,N/A,N/A
The Boy Next Door,Animation,1h 29m,N/A,N/A
Nefertiti the Queen of Hearts,Animation,1h 29m,N/A,N/A
Tied Up,Animation,N/A,N/A,N/A
The Christmas Shark,Animation,1h 3m,N/A,N/A
Elif ve Arkadaslari 2: Perisler,Animation,N/A,N/A,N/A
The Ballad of Straw Hat Sam,Animation,45m,8.5,13
Pikmin Forever,Animation,N/A,N/A,N/A
The Elf Who Saved Christmas,Animation,1h 2m,N/A,N/A
Crazy Train,Animation,1h 35m,N/A,N/A
Young doctor's notes,Animation,1h 26m,3.5,7
The Greatest Surf Movie in the Universe,Animation,1h 21m,4.7,9
Ekip: Siberay - Günes Firtinasi,Animation,1h 12m,6.0,14
Cordélicos,Animation,1h 8m,N/A,N/A
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,Animation,N/A,N/A,N/A
Terrors,Animation,1h 5m,N/A,N/A
Bie ba zuo wen dang hui shi er,Animation,1h 29m,7.2,12
Nancy & Bill: The Story Before Oliver Twist,Animation,N/A,N/A,N/A
Iris the Movie: Full Energy!!,Animation,1h,7.3,9
Fleischer Cartoons: The Art & Inventions of Max Fleischer,Animation,1h 2m,N/A,N/A
Apocalypse Love,Animation,N/A,7.5,9
Happylittle Submarine: The Adventure with Dragon,Animation,N/A,N/A,N/A
There's Something About Knuckles Saga,Animation,46m,N/A,N/A
The Monkey King Conquers Monsters,Animation,1h 30m,N/A,N/A
The Barkers Pursuit of Adventure,Animation,N/A,5.2,5
Symphony of the Eyes,Animation,43m,N/A,N/A
Apperception,Animation,1h 2m,N/A,N/A
Our Crazy Love,Animation,1h 26m,N/A,N/A
Mutation X,Animation,51m,N/A,N/A
Outcome,Animation,51m,N/A,N/A
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,Animation,59m,7.0,18
Satan Kingdom Babylon,Animation,1h 17m,N/A,N/A
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,Animation,1h 18m,7.7,12
Sinoalice: The Very Last Story,Animation,1h 14m,N/A,N/A
Hubworld,Animation,3h 47m,N/A,N/A
Fat Chance! the Movie,Animation,N/A,7.6,6
Balentes,Animation,1h 10m,7.4,9
Bob a Bobek ve filmu: Na stope Mrkvojeda,Animation,1h 20m,7.1,39
Zegapain STA,Animation,1h 30m,N/A,N/A
Piril: Sayilarin Gizemi,Animation,N/A,8.9,68
Dream Catchers,Animation,N/A,N/A,N/A
Skazochnyy patrul. Shou prodolzhayetsya,Animation,1h 5m,7.5,10
Strawberry School Festival!!!,Animation,1h 23m,N/A,N/A
COPS VS WHORES,Animation,57m,N/A,N/A
Calico Rebellion,Animation,1h 10m,N/A,N/A
The Guardians: The Chosen Ones,Animation,N/A,N/A,N/A
Genjitsu no Yohane -Sunshine in the Mirror- Movie,Animation,1h 29m,N/A,N/A
2475 Dawn of Revolution,Animation,2h 7m,6.3,154
Gintama on Theater 2D: Kintama-hen,Animation,1h 37m,6.4,6
Kek 2,Animation,1h 38m,N/A,N/A
Thanksgiving in Wonderland,Animation,1h 5m,N/A,N/A
Boundearth,Animation,1h 48m,N/A,N/A
Plastic,Animation,1h 2m,N/A,N/A
