Movie_Name,Genre,Duration,Ratings,Voting_counts
Tayna Chyornoy Ruki,Adventure,1h 24m,5.7,24
Pra Sempre,Adventure,1h 15m,N/A,N/A
Wheelies Inc,Adventure,N/A,N/A,N/A
The Ballad of Straw Hat Sam,Adventure,45m,8.5,13
The Koopas,Adventure,N/A,N/A,N/A
Unscripted - In the Heart of Africa,Adventure,1h 22m,N/A,N/A
Kage & Celeste,Adventure,1h 9m,N/A,N/A
Phantom Lights: UAPs of the Forest,Adventure,1h 21m,N/A,N/A
Novogodniy ekspress,Adventure,47m,6.8,10
I'm Professional,Adventure,1h 35m,4.6,9
Upanga Kingdom,Adventure,1h 55m,N/A,N/A
Mystic Odyssey,Adventure,2h 24m,N/A,N/A
Knight,Adventure,N/A,N/A,N/A
A Babá: Operação Game Over,Adventure,N/A,4.9,11
One in a million chance,Adventure,1h 10m,N/A,N/A
