Movie_Name,Genre,Duration,Ratings,Voting_counts
Smart Killer,Family,N/A,8.9,10
Omar v bolshom kino,Family,1h 26m,5.4,32
Santa's Chimney of Secrets,Family,1h 6m,4.5,25
Bob a Bobek ve filmu: Na stope Mrkvojeda,Family,1h 20m,7.1,39
Feng Zi Lao Ba,Family,1h 25m,4.3,6
Il circo delle meraviglie,Family,1h 30m,N/A,N/A
Oh Dear Son,Family,N/A,N/A,N/A
Skazochnyy patrul. Shou prodolzhayetsya,Family,1h 5m,7.5,10
Devka-baba: Kukla-charodeyka,Family,1h 33m,7.9,9
I'm Supposed to Walk This Way,Family,N/A,N/A,N/A
YA - medved,Family,1h 37m,5.1,62
Hunar Ka Fever,Family,N/A,N/A,N/A
Quem é o pai do miúdo?,Family,N/A,N/A,N/A
"Poymay sobaku, esli smozhesh",Family,1h 36m,3.5,39
The Adventures of the Adventures 4: Boston Haunts,Family,1h 59m,N/A,N/A
Maerey Gaon Ki Baat,Family,2h 45m,N/A,N/A
Give 'Em Hell Honey!,Family,1h 34m,5.5,20
The Sailing Movie,Family,1h 28m,N/A,N/A
Family History 2,Family,N/A,N/A,N/A
RB&O Live: Alice's Adventures in Wonderland,Family,3h 25m,N/A,N/A
Stealing Church,Family,39m,N/A,N/A
The Guardians: The Chosen Ones,Family,N/A,N/A,N/A
Gulmohammad,Family,1h 12m,N/A,N/A
Satidevi,Family,2h 9m,N/A,N/A
El Laboratorio Mágico,Family,N/A,N/A,N/A
Kallu Compound 1995,Family,2h 20m,7.4,2K
Alive & Free,Family,1h 31m,N/A,N/A
Salamat Rahe Dostana Hamara (SRDH),Family,1h,9.3,87
Lokananta,Family,N/A,6.2,15
Shaktiman,Family,N/A,7.1,10
Thanksgiving in Wonderland,Family,1h 5m,N/A,N/A
Sukhneer,Family,N/A,N/A,N/A
Mallemogga,Family,2h 12m,9.0,11
Mukhadrakon,Family,1h 49m,5.3,18
A Christmas Reunion,Family,1h 4m,4.0,15
"Ponta Grossa, Não Sei Se Te Amo",Family,1h 29m,N/A,N/A
Takar Machine,Family,40m,N/A,N/A
Kazhdyy mechtaet o sobake,Family,1h 30m,5.0,36
Suvorovets 1944,Family,1h 30m,3.5,30
Selebryata,Family,1h 33m,3.6,21
my father my hero,Family,N/A,N/A,N/A
Robo Puffin,Family,N/A,N/A,N/A
Shiva Ragini,Family,N/A,N/A,N/A
Margie en de magische drank,Family,59m,N/A,N/A
Neighbours,Family,N/A,N/A,N/A
Siamo solo noi,Family,1h 56m,N/A,N/A
Forever Queens,Family,1h 2m,N/A,N/A
Wounded Healer,Family,1h 30m,N/A,N/A
"But First, Coffee",Family,49m,N/A,N/A
Pulang Tak Harus Rumah,Family,1h 20m,N/A,N/A
Destiny or Will. Marusia,Family,N/A,8.8,20
Ek Minute,Family,N/A,N/A,N/A
Bhoomi (gujrati feature film),Family,N/A,N/A,N/A
Baby Halloween,Family,1h 6m,N/A,N/A
O Gün Hava Bulutlu Degildi,Family,2h,N/A,N/A
Agrico's,Family,N/A,8.8,1K
Eine zweite Chance,Family,1h 31m,8.6,46
Nicotine,Family,N/A,N/A,N/A
The Silly Billies: Live in Your Lounge Room!,Family,47m,N/A,N/A
Lost & Found,Family,N/A,N/A,N/A
Alfred and His Mischiefs,Family,1h 39m,N/A,N/A
L'Elisir di Leonardo da Vinci e la Banda del Buffardello,Family,1h 30m,N/A,N/A
Early Years (xiao shi hou),Family,16m,N/A,N/A
Sas Athanni Bahu Rupayiya,Family,N/A,N/A,N/A
Gyakorlat teszi a mestert,Family,46m,6.1,24
Iyunskaya polyn,Family,1h 19m,8.7,7
Tui Ke Amar,Family,1h 54m,6.6,6
